Input Email,User Reply
"Hello, I want to track my shipment with AWB 654321. Can you provide the status?","Hello, Your shipment with AWB 654321 is currently at the port and is expected to be delivered in the next 5 days. Please feel free to reach out if you need more details."
"Dear team, Can you give me a quote for ocean freight from NY to LA for 100 tons of cargo?","Hello, Thank you for your inquiry. The ocean freight rate from NY to LA for 100 tons of cargo is USD 3,000. If you have more details or need further clarification, feel free to ask."
"Dear Sir, Please provide the shipping costs for 200 kg of household items from NY to London.","Hello, The shipping rate for 500 kg of garments from Paris to Dubai is USD 2,500. Feel free to contact us for more details or if you would like to confirm the booking."
"Hi, Can you tell me the rates for shipping 500 kg of garments from Paris to Dubai?","Hello, We can handle your urgent shipment from Mumbai to Dubai. The cost for this shipment is USD 3,500. Let us know how you'd like to proceed."
"Hi, Can you tell me the rates for shipping 500 kg of garments from Paris to Dubai?","Hello, Thank you for your email. The current air freight rate from DEL to DXB is USD 5 per kg. Let me know if you need further assistance."
"Hi, I would like to know the tracking details for my shipment, AWB 123456.","Hello, Thank you for your inquiry. The best shipping rate from India to the USA is USD 7,000 for 1 ton of cargo. Let us know if you'd like a quote for more items."
"Dear Team, I have an urgent shipment from Mumbai to Dubai. Can you please provide the quote?","Hello, We can handle your urgent shipment from Mumbai to Dubai. The cost for this shipment is USD 3,500. Let us know how you'd like to proceed."
"Hi, Can you help me with the best shipping rates from India to the USA?","Hello, Thanks for reaching out. We currently have space available for a shipment from SF to LA. The best available rate is USD 2,000. Please let us know if you'd like to proceed."
"Hello, I want to track my shipment with AWB 654321. Can you provide the status?","Hello, Thanks for reaching out. We currently have space available for a shipment from SF to LA. The best available rate is USD 2,000. Please let us know if you'd like to proceed."
"Hi, I would like to know the tracking details for my shipment, AWB 123456.","Hello, Thanks for reaching out! Your shipment with AWB 123456 is in transit and is expected to arrive in 3 days. Please let me know if you need any further information."
"Dear Sir, Could you please provide me with the current rate for air shipment from DEL to DXB? Thank you.","Hello, Thanks for reaching out. We currently have space available for a shipment from SF to LA. The best available rate is USD 2,000. Please let us know if you'd like to proceed."
"Dear team, Can you give me a quote for ocean freight from NY to LA for 100 tons of cargo?","Hello, Thank you for your email. The cost for shipping 200 kg of household items from NY to London is USD 1,500. Please feel free to contact us if you need any further assistance."
"Dear Sir, Could you please provide me with the current rate for air shipment from DEL to DXB? Thank you.","Hello, Your shipment with AWB 654321 is currently at the port and is expected to be delivered in the next 5 days. Please feel free to reach out if you need more details."
"Hi, I would like to know the tracking details for my shipment, AWB 123456.","Hello, Thank you for your email. We can offer a quotation for the shipment of 10 cartons of electronics from JFK to LHR at USD 1,200. Let me know if you'd like to book this shipment."
"Hello, I want to track my shipment with AWB 654321. Can you provide the status?","Hello, Thank you for your email. The cost for shipping 200 kg of household items from NY to London is USD 1,500. Please feel free to contact us if you need any further assistance."
"Hi, Can you tell me the rates for shipping 500 kg of garments from Paris to Dubai?","Hello, Thanks for reaching out! Your shipment with AWB 123456 is in transit and is expected to arrive in 3 days. Please let me know if you need any further information."
"Dear Team, I have an urgent shipment from Mumbai to Dubai. Can you please provide the quote?","Hello, The shipping rate for 500 kg of garments from Paris to Dubai is USD 2,500. Feel free to contact us for more details or if you would like to confirm the booking."
"Hi, Can you help me with the best shipping rates from India to the USA?","Hello, Thanks for reaching out! Your shipment with AWB 123456 is in transit and is expected to arrive in 3 days. Please let me know if you need any further information."
"Hello, Could you please let me know the availability of space for a shipment from SF to LA?","Hello, Thank you for your email. The cost for shipping 200 kg of household items from NY to London is USD 1,500. Please feel free to contact us if you need any further assistance."
"Dear Sir, Could you please provide me with the current rate for air shipment from DEL to DXB? Thank you.","Hello, Thank you for your email. We can offer a quotation for the shipment of 10 cartons of electronics from JFK to LHR at USD 1,200. Let me know if you'd like to book this shipment."
"Hi, Can you tell me the rates for shipping 500 kg of garments from Paris to Dubai?","Hello, Thanks for reaching out! Your shipment with AWB 123456 is in transit and is expected to arrive in 3 days. Please let me know if you need any further information."
"Dear Team, I have an urgent shipment from Mumbai to Dubai. Can you please provide the quote?","Hello, Thank you for your email. The cost for shipping 200 kg of household items from NY to London is USD 1,500. Please feel free to contact us if you need any further assistance."
"Hi, Can you tell me the rates for shipping 500 kg of garments from Paris to Dubai?","Hello, The shipping rate for 500 kg of garments from Paris to Dubai is USD 2,500. Feel free to contact us for more details or if you would like to confirm the booking."
"Dear Sir/Madam, I need a quotation for shipping 10 cartons of electronics from JFK to LHR.","Hello, Thank you for your inquiry. The best shipping rate from India to the USA is USD 7,000 for 1 ton of cargo. Let us know if you'd like a quote for more items."
"Dear Sir, Could you please provide me with the current rate for air shipment from DEL to DXB? Thank you.","Hello, Thank you for your email. The cost for shipping 200 kg of household items from NY to London is USD 1,500. Please feel free to contact us if you need any further assistance."
